filename,class,x_start,y_start,x_finish,y_finish
screen_768x768_158.png.txt,parkinglot,,,,
screen_768x768_6.png.txt,parkinglot,,,,
screen_768x768_148.png.txt,parkinglot,,,,
screen_768x768_287.png.txt,parkinglot,,,,
screen_768x768_297.png.txt,parkinglot,,,,
screen_768x768_183.png.txt,parkinglot,,,,
screen_768x768_193.png.txt,parkinglot,,,,
screen_768x768_324.png,parkinglot,477.7744,376.4592,509.9408,336.2588
screen_768x768_324.png,parkinglot,436.0056,365.2323,467.0543,326.8404
screen_768x768_324.png,parkinglot,540.8773,388.4909,575.4859,358.12800000000004
screen_768x768_324.png,parkinglot,712.4872,475.7526,755.1412,449.8276
screen_768x768_324.png,parkinglot,646.7291,442.0775,688.1752,414.1539
screen_768x768_324.png,parkinglot,499.7393,379.5692,531.3737,342.01599999999996
screen_768x768_324.png,parkinglot,520.6176,383.084,553.8817,348.0424
screen_768x768_324.png,parkinglot,691.0529,464.3764,732.4959,437.7631
screen_768x768_324.png,parkinglot,455.9467,370.57599999999996,486.2654,331.9906
screen_768x768_324.png,parkinglot,668.5313,452.3878,710.3754,425.9618
screen_768x768_334.png,parkinglot,37.97569,475.7526,80.21592,449.8276
screen_768x768_334.png,parkinglot,61.94039,487.1899,102.2203,460.2014
screen_768x768_334.png,parkinglot,83.53291999999999,498.6212,125.8378,471.378
screen_768x768_334.png,parkinglot,16.35967,464.3764,57.37781999999999,437.7631
screen_768x768_334.png,parkinglot,105.7224,510.382,145.1752,481.6335
screen_768x768_167.png,parkinglot,676.7646,263.1172,663.9908,310.7303
screen_768x768_167.png,parkinglot,462.6842,64.35339999999997,476.6638,15.448099999999954
screen_768x768_167.png,parkinglot,391.4097,81.54290000000003,403.3969,31.510899999999992
screen_768x768_167.png,parkinglot,590.0444,283.5652,576.8098,331.3758
screen_768x768_167.png,parkinglot,437.5824,70.10760000000005,452.4843,21.21550000000002
screen_768x768_167.png,parkinglot,610.3771,277.9991,598.1234,326.301
screen_768x768_167.png,parkinglot,510.6617,53.38850000000002,528.4456,4.458300000000008
screen_768x768_167.png,parkinglot,742.0989,246.9253,730.1772,295.1483
screen_768x768_167.png,parkinglot,486.4316,58.94010000000003,501.8717,9.473100000000045
screen_768x768_167.png,parkinglot,761.7405,241.57410000000004,750.5782,290.3359
screen_768x768_167.png,parkinglot,587.9671,61.47569999999996,635.8549,48.658300000000054
screen_768x768_167.png,parkinglot,654.235,269.2328,642.7295,315.7411
screen_768x768_167.png,parkinglot,698.3475,258.3557,687.2895,305.244
screen_768x768_167.png,parkinglot,532.1063,48.52110000000005,559.7654,6.244500000000016
screen_768x768_167.png,parkinglot,633.6882,273.583,619.4424,321.2248
screen_768x768_167.png,parkinglot,720.8267,252.70979999999997,706.8677,300.6371
screen_768x768_167.png,parkinglot,414.3912,75.38100000000009,427.2909,26.50109999999995
screen_768x768_167.png,parkinglot,570.1766,54.896600000000035,615.0699,30.00109999999995
screen_768x768_167.png,parkinglot,545.2836,295.2989,532.9806,341.7248
screen_768x768_167.png,parkinglot,522.2125,300.3831,511.6826,346.7282
screen_768x768_167.png,parkinglot,566.6786,289.4673,556.2452,336.2465
screen_768x768_167.png,parkinglot,550.9482,49.275300000000016,587.6479,14.2808
screen_768x768_177.png,parkinglot,65.03533,246.9253,53.78545,295.1483
screen_768x768_177.png,parkinglot,84.49475,241.57410000000004,74.10983,290.3359
screen_768x768_177.png,parkinglot,21.60352,258.3557,11.05865,305.244
screen_768x768_177.png,parkinglot,43.92412,252.70979999999997,30.563440000000003,300.6371
screen_768x768_201.png.txt,parkinglot,,,,
screen_768x768_211.png.txt,parkinglot,,,,
screen_768x768_33.png.txt,parkinglot,,,,
screen_768x768_23.png.txt,parkinglot,,,,
screen_768x768_51.png.txt,parkinglot,,,,
screen_768x768_41.png.txt,parkinglot,,,,
screen_768x768_263.png.txt,parkinglot,,,,
screen_768x768_273.png,parkinglot,611.6128,631.8405,643.7112,592.1237
screen_768x768_273.png,parkinglot,570.1312,620.7487,601.1132,582.8188
screen_768x768_273.png,parkinglot,674.2974,643.7275,708.7922,613.7298000000001
